COUNTRY,COVID_VACCINE_ADM_TOT_A1D,COVID_VACCINE_ADM_TOT_BOOST,COVID_VACCINE_ADM_TOT_CPS,COVID_VACCINE_ADM_TOT_DOSES,COVID_VACCINE_ADM_TOT_DOSES_PER100,COVID_VACCINE_COV_TOT_A1D,COVID_VACCINE_COV_TOT_BOOST,COVID_VACCINE_COV_TOT_CPS,COVID_VACCINE_DATE_INTRO_FIRST,COVID_VACCINE_DATE_REPORT_TOT_LAST,DATE
BTN,187866.000000000,,,187866.000000000,24.000000000,24.000000000,,,2021-03-27,2022-10-30,2021-03-28
BTN,480836.000000000,,,480836.000000000,62.000000000,62.000000000,,,2021-03-27,2022-10-30,2021-04-25
BTN,483092.000000000,,,483092.000000000,63.000000000,63.000000000,,,2021-03-27,2022-10-30,2021-05-30
BTN,484797.000000000,,490.000000000,485619.000000000,63.000000000,63.000000000,,,2021-03-27,2022-10-30,2021-06-27
BTN,530103.000000000,,470465.000000000,1000568.000000000,130.000000000,69.000000000,,61.000000000,2021-03-27,2022-10-30,2021-07-25
BTN,567148.000000000,,477951.000000000,1045100.000000000,135.000000000,74.000000000,,62.000000000,2021-03-27,2022-10-30,2021-08-29
BTN,584818.000000000,,497517.000000000,1082335.000000000,140.000000000,76.000000000,,64.000000000,2021-03-27,2022-10-30,2021-09-26
BTN,588307.000000000,,559839.000000000,1148146.000000000,149.000000000,76.000000000,,73.000000000,2021-03-27,2022-10-30,2021-10-31
BTN,589291.000000000,,564417.000000000,1153709.000000000,150.000000000,76.000000000,,73.000000000,2021-03-27,2022-10-30,2021-11-28
BTN,591944.000000000,,568191.000000000,1160134.000000000,150.000000000,77.000000000,,74.000000000,2021-03-27,2022-10-30,2021-12-26
BTN,594009.000000000,274060.000000000,570814.000000000,1438884.000000000,186.000000000,77.000000000,36.000000000,74.000000000,2021-03-27,2022-10-30,2022-01-30
BTN,599054.000000000,424517.000000000,574887.000000000,1598457.000000000,207.000000000,78.000000000,55.000000000,75.000000000,2021-03-27,2022-10-30,2022-02-27
BTN,689418.000000000,530095.000000000,582157.000000000,1801669.000000000,233.000000000,89.000000000,69.000000000,75.000000000,2021-03-27,2022-10-30,2022-03-27
BTN,692549.000000000,542552.000000000,671505.000000000,1906606.000000000,247.000000000,90.000000000,70.000000000,87.000000000,2021-03-27,2022-10-30,2022-04-24
BTN,692803.000000000,543968.000000000,672262.000000000,1909033.000000000,247.000000000,90.000000000,70.000000000,87.000000000,2021-03-27,2022-10-30,2022-05-29
BTN,692996.000000000,545280.000000000,672722.000000000,1910998.000000000,248.000000000,90.000000000,71.000000000,87.000000000,2021-03-27,2022-10-30,2022-06-26
BTN,694208.000000000,549912.000000000,673485.000000000,1917605.000000000,249.000000000,90.000000000,71.000000000,87.000000000,2021-03-27,2022-10-30,2022-07-31
BTN,695683.000000000,556971.000000000,674855.000000000,1927509.000000000,250.000000000,90.000000000,72.000000000,87.000000000,2021-03-27,2022-10-30,2022-08-28
BTN,698096.000000000,621051.000000000,676991.000000000,1996138.000000000,259.000000000,90.000000000,80.000000000,88.000000000,2021-03-27,2022-10-30,2022-09-25
BTN,699116.000000000,634641.000000000,677669.000000000,2011426.000000000,261.000000000,91.000000000,82.000000000,88.000000000,2021-03-27,2022-10-30,2022-10-30
BTN,699116.000000000,634641.000000000,677669.000000000,2011426.000000000,261.000000000,91.000000000,82.000000000,88.000000000,2021-03-27,2022-10-30,2022-11-27
BTN,699116.000000000,634641.000000000,677669.000000000,2011426.000000000,261.000000000,91.000000000,82.000000000,88.000000000,2021-03-27,2022-10-30,2022-12-25
BTN,699116.000000000,634641.000000000,677669.000000000,2011426.000000000,261.000000000,91.000000000,82.000000000,88.000000000,2021-03-27,2022-10-30,2023-01-29
