Country,Country_code,Who_region,Wb_income,Year,Month,Agegroup,Deaths
Kuwait,KWT,EMR,HIC,2026,4,0_4,
Guatemala,GTM,AMR,UMC,2026,3,15_64,0
Guatemala,GTM,AMR,UMC,2026,2,5_14,0
Guatemala,GTM,AMR,UMC,2026,1,5_14,0
Guatemala,GTM,AMR,UMC,2026,2,0_4,0
Guatemala,GTM,AMR,UMC,2026,1,65+,0
Guatemala,GTM,AMR,UMC,2026,1,15_64,0
Guatemala,GTM,AMR,UMC,2026,4,0_4,0
Guatemala,GTM,AMR,UMC,2026,1,0_4,0
Guam,GUM,WPR,HIC,2026,4,5_14,
Guam,GUM,WPR,HIC,2026,4,15_64,
Guam,GUM,WPR,HIC,2026,3,5_14,
Guam,GUM,WPR,HIC,2026,3,0_4,
Guam,GUM,WPR,HIC,2026,2,5_14,
Guam,GUM,WPR,HIC,2026,2,15_64,
Guam,GUM,WPR,HIC,2026,4,0_4,
Guam,GUM,WPR,HIC,2026,1,5_14,
Guam,GUM,WPR,HIC,2026,3,15_64,
Guam,GUM,WPR,HIC,2026,1,0_4,
Guam,GUM,WPR,HIC,2026,2,0_4,
Guam,GUM,WPR,HIC,2026,1,15_64,
Guam,GUM,WPR,HIC,2026,4,65+,
Guam,GUM,WPR,HIC,2026,3,65+,
Guam,GUM,WPR,HIC,2026,2,65+,
Guam,GUM,WPR,HIC,2026,1,65+,
Guadeloupe,GLP,AMR,,2026,4,65+,
Guadeloupe,GLP,AMR,,2026,4,5_14,
Guadeloupe,GLP,AMR,,2026,4,0_4,
Guatemala,GTM,AMR,UMC,2026,2,65+,0
Guatemala,GTM,AMR,UMC,2026,4,65+,0
Guatemala,GTM,AMR,UMC,2026,4,15_64,0
Guatemala,GTM,AMR,UMC,2026,4,5_14,0
Guinea,GIN,AFR,LMC,2026,3,0_4,
Guinea,GIN,AFR,LMC,2026,2,0_4,
Guinea,GIN,AFR,LMC,2026,1,15_64,
Guinea,GIN,AFR,LMC,2026,1,0_4,
Guinea,GIN,AFR,LMC,2026,4,65+,
